reason,source,ID,Category,Question,Option A,Option B,Option C,Option D,Correct Answer
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,207,Team Histories,How many Super Bowls have the Washington Commanders won?,3,2,4,1,3
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,208,Team Histories,How many Super Bowls have the New York Jets won?,1,2,0,3,1
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,209,Team Histories,How many Super Bowls have the Chicago Bears won?,1,2,0,3,1
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,210,Team Histories,How many Super Bowls have the Seattle Seahawks won?,1,2,0,3,1
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,213,Quarterbacks Head to Head,How many times have Josh Allen and Patrick Mahomes met in the playoffs?,3,2,4,1,3
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,220,Quarterbacks Head to Head,How many interceptions did Josh Allen throw in 2024?,6,5,7,8,6
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,221,Recent Player Transactions,Did Davante Adams get traded in 2024?,Yes,No,Pending,Rumored,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,224,Recent Player Transactions,Did the Eagles acquire any cornerbacks in the 2024 draft?,Yes,No,Two,Traded for,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,225,Recent Player Transactions,Did Xavier Worthy perform well in his rookie season with the Chiefs?,Yes,No,Decent,Struggled,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,226,Recent Player Transactions,How many receiving touchdowns did Xavier Worthy have in 2024?,6,5,7,4,6
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,227,Recent Player Transactions,Did Braden Fiske have a strong rookie season in 2024?,Yes,No,Decent,Struggled,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,229,Recent Player Transactions,Did any cornerbacks from the Eagles 2024 draft class perform well?,Yes,No,One did,Too early,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,233,Season Performance Metrics,How many interceptions did Patrick Mahomes throw in 2024?,8,7,9,6,8
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,238,Season Performance Metrics,How many interceptions did Lamar Jackson throw in 2024?,4,3,5,6,4
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,240,Season Performance Metrics,How many rushing touchdowns did Lamar Jackson have in 2024?,4,3,5,6,4
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,246,Advanced Statistics,How many MVP awards did Aaron Rodgers win?,4,3,5,2,4
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,249,Advanced Statistics,Did Jayden Daniels rank in the top 6 for Turnovers Worthy Play rate?,Yes,No,Tied,Just missed,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,254,Game Statistics,How many rushing attempts did the Chiefs have in the first half?,3,5,7,10,3
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,255,Game Statistics,How many rushing yards did the Chiefs have in the first half?,3,10,20,5,3
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,256,Game Statistics,How many playoff games did the Eagles win in 2024-25?,3,2,4,1,3
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,258,Game Statistics,Did Milton Williams cause a fumble in Super Bowl LIX?,Yes,No,Strip sack,Safety,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,259,Game Statistics,Did the Eagles defense blitz at all in Super Bowl LIX?,No,Yes,Once,Multiple times,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,261,Team Victories & Streaks,Did the Eagles have the longest win streak in 2024?,Yes,No,Tied,Close,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,264,Team Victories & Streaks,Did the Kansas City Chiefs have a long winning streak in 2024?,Yes,No,Moderate,Brief,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,266,Team Victories & Streaks,Did all division winners have at least 10 wins in 2024?,Yes,No,Most did,None,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,267,Team Victories & Streaks,Did the 2024 NFL season have more upsets than normal?,No,Yes,About average,Fewer,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,269,Team Victories & Streaks,Did the Vikings have a strong 2024 season?,Yes,No,Decent,Poor,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,270,Team Victories & Streaks,Did the Detroit Lions' #1 seed help them in playoffs?,No,Yes,Didn't matter,Too early,No
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,272,Player Contracts & Deals,How many years was Trey Smith's deal with the Chiefs before franchise tag?,1,2,3,4,1
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,274,Player Contracts & Deals,How many years was Aaron Banks' Green Bay contract?,4,3,5,6,4
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,276,Player Contracts & Deals,Did D.J. Reed sign a big contract in 2025?,Yes,No,Moderate,Franchise,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,277,Player Contracts & Deals,How many years was D.J. Reed's contract?,3,2,4,5,3
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,279,Player Contracts & Deals,Did Mekhi Becton sign with any AFC team in 2025?,Yes,No,Jets,Free,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,280,Player Contracts & Deals,How many years was Mekhi Becton's contract?,2,1,3,4,2
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,281,Notable Performances,Did Derrick Henry have a good first season with his new team?,Yes,No,Average,Injured,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,282,Notable Performances,Did Marvin Harrison Jr. have a strong rookie season?,Yes,No,Decent,Injured,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,284,Notable Performances,How many receiving touchdowns did Marvin Harrison Jr. have in 2024?,8,10,6,12,8
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,285,Notable Performances,Did Brian Thomas Jr. have a strong rookie season?,Yes,No,Decent,Injured,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,289,Notable Performances,Was Shedeur Sanders drafted in the first round in 2025?,No,Yes,Pending,Undrafted,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,290,Notable Performances,Did the 49ers have any rookie WR perform well in 2024?,Yes,No,Injured,Average,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,292,Coaching Performance,How many Super Bowls has Andy Reid won with the Chiefs?,3,2,4,1,3
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,293,Coaching Performance,Did Sean Payton coach the Eagles in 2024?,No,Yes,Retired,Interim,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,295,Coaching Performance,Did the Lions have a new head coach in 2024?,No,Yes,Interim,Recently,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,297,Coaching Performance,Did Dan Campbell take a new job in 2025?,No,Yes,Interim,Recently,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,298,Coaching Performance,Did the Ravens have issues with playoff success in 2024?,Yes,No,Mixed,New coach,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,301,Offensive Weapons,Does Josh Allen have adequate receiving weapons?,Yes,No,Some,Getting better,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,303,Offensive Weapons,How many All-Pro selections does Stefon Diggs have?,4,3,5,2,4
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,304,Offensive Weapons,Did the Bills have good offensive coaching in 2024?,Yes,No,Average,Poor,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,305,Offensive Weapons,Does Patrick Mahomes have great receiving weapons?,Yes,No,Some,Lost some,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,307,Offensive Weapons,Does Lamar Jackson have great receiving options?,Yes,No,Some,Limited,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,309,Offensive Weapons,Does Jalen Hurts have elite receiving weapons?,Yes,No,Some,Recently added,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,313,Defensive Excellence,Did the Eagles defense blitz in Super Bowl LIX?,No,Yes,Limited,Few times,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,315,Defensive Excellence,Did the Eagles force turnovers in Super Bowl LIX?,Yes,No,One,None,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,316,Defensive Excellence,How many interceptions did the Eagles have in Super Bowl LIX?,2,1,3,0,2
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,317,Defensive Excellence,How many fumbles did Mahomes have in Super Bowl LIX?,1,0,2,3,1
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,320,Defensive Excellence,Did the Eagles' secondary perform well in 2024?,Yes,No,Average,Mixed,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,321,Individual Records & Milestones,Did Saquon Barkley break any team records in 2024?,Yes,No,Multiple,Franchise,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,322,Individual Records & Milestones,Did Saquon Barkley come close to the NFL single-season rushing record?,Yes,No,100 yards away,Close,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,325,Individual Records & Milestones,Did Brock Bowers set the all-time rookie receptions record?,Yes,No,Tied,Almost,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,328,Individual Records & Milestones,Did Jayden Daniels have a historic rookie season?,Yes,No,Good,Average,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,330,Individual Records & Milestones,Is Jayden Daniels a future Hall of Famer?,Possible,No,Too early,Likely,Possible
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,331,Fan Favorites & Highlights,Did Cooper DeJean have a memorable moment in Super Bowl LIX?,Yes,No,Fumble recovery,Sack,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,333,Fan Favorites & Highlights,Was it Cooper DeJean's 22nd birthday?,Yes,No,21st,23rd,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,335,Fan Favorites & Highlights,Did DeVonta Smith score in Super Bowl LIX?,Yes,No,Multiple,One,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,338,Fan Favorites & Highlights,Did DeVonta Smith have a good 2024 season?,Yes,No,Average,Injured,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,339,Fan Favorites & Highlights,Did A.J. Brown have a great 2024 season?,Yes,No,Average,Injured,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,340,Fan Favorites & Highlights,Did the Eagles have a dominant passing game in 2024?,Yes,No,Average,Mixed,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,351,2025 Offseason Moves,Did the Eagles hire a new head coach in 2025?,No,Yes,Promoted interim,From outside,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,352,2025 Offseason Moves,Did the Chiefs make major roster changes in 2025?,No,Yes,Some,Minor,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,353,2025 Offseason Moves,Did the Bills make significant trades in 2025?,No,Yes,Some,Pending,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,354,2025 Offseason Moves,Did the Ravens make significant roster changes?,Yes,No,Some,Pending,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,355,2025 Offseason Moves,Did the Lions make any significant acquisitions?,No,Yes,Some,Pending,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,356,2025 Offseason Moves,Did the Vikings make any significant roster moves?,No,Yes,Some,Pending,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,357,2025 Offseason Moves,Did the Chargers hire Jim Harbaugh in 2024?,Yes,No,2023,Pending,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,359,2025 Offseason Moves,How many Super Bowls have the Chiefs won recently?,3,2,4,1,3
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,363,Player Achievements,"How many consecutive 1,000-yard seasons did Barry Sanders have?",5,6,4,7,5
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,372,Conference Standings,How many of the top 4 seeds were in the NFC?,2,3,4,1,2
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,375,Conference Standings,Did any division have all teams above .500?,No,Yes,Some,One,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,377,Conference Standings,Did the AFC South have a weak 2024 season?,Yes,No,Average,Mixed,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,379,Conference Standings,Did the NFC South have any dominant teams?,No,Yes,One,Emerging,No
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,380,Conference Standings,How many playoff teams were in the NFC South?,1,2,3,0,1
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,381,Special Teams & Other Stats,Did Saquon Barkley set the combined regular season + postseason rushing record?,Close,Yes,No,Almost,Close
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,385,Special Teams & Other Stats,Did the Eagles rest starters in their final regular season game?,Yes,No,Some,Partial,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,387,Special Teams & Other Stats,Did Eric Dickerson break his record recently?,No,Yes,1984,Still stands,No
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,391,Trivia & Fun Facts,How many times has Joe Namath won a Super Bowl?,1,2,0,3,1
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,392,Trivia & Fun Facts,How many times has Joe Montana won a Super Bowl?,4,3,5,2,4
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,393,Trivia & Fun Facts,Did Joe Namath and Joe Montana both win Super Bowls?,Yes,No,One did,Different eras,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,395,Trivia & Fun Facts,Did Jalen Hurts become only the 3rd starting QB to win both a championship and Super Bowl?,Yes,No,Almost,2nd,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,397,Trivia & Fun Facts,Did Jalen Hurts play in college?,Yes,No,Briefly,High school only,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,399,Trivia & Fun Facts,Did Jalen Hurts win a national championship in college?,No,Yes,Made final four,Close,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,403,Notable Draft Picks,Did Caleb Williams win the Heisman Trophy?,Yes,No,Multiple times,Finalist,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,406,Notable Draft Picks,Did Drake Maye attend UNC?,Yes,No,Harvard,Yale,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,407,Notable Draft Picks,Was Drake Maye a successful Patriots draft pick?,Developing,No,Yes,Too early,Developing
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,409,Notable Draft Picks,Did Michael Penix Jr. sign with the Falcons?,Yes,Cardinals,Colts,Jaguars,Colts
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,410,Notable Draft Picks,How many quarterbacks were selected in the first round of 2024?,5,4,6,3,5
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,416,Statistical Leaders Continued,Did any defensive back win MVP in recent years?,No,Yes,Not since 1980s,Pending,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,417,Statistical Leaders Continued,Did any linebacker win MVP in recent years?,No,Yes,Not since 2000s,Pending,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,421,Playoff Seeding Analysis,Did the #1 seed in the AFC have an easy path to the Super Bowl?,No,Yes,Average,Moderate,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,422,Playoff Seeding Analysis,Did the #1 seed in the NFC make it to the Super Bowl?,No,Yes,Lost earlier,Barely,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,424,Playoff Seeding Analysis,Was the Lions' loss a major upset?,No,Yes,Unexpected,Surprising,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,425,Playoff Seeding Analysis,Did the Chiefs make the Super Bowl as the #1 seed?,Yes,No,From wild card,From 3 seed,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,426,Playoff Seeding Analysis,Did the Eagles make the Super Bowl as the #2 seed?,Yes,No,From wild card,From 5 seed,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,427,Playoff Seeding Analysis,Has a #2 seed ever made the Super Bowl?,Yes,No,Rarely,Once,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,428,Playoff Seeding Analysis,Did the Bills have a favorable playoff path?,No,Yes,Average,Tough,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,431,Injury & Health Updates,Were there any major injuries during Super Bowl LIX?,No,Yes,Minor,Some,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,432,Injury & Health Updates,Did Patrick Mahomes have any injuries in 2024?,Yes,No,Minor,Recovery,Yes
