ID,Category,Question,Option A,Option B,Option C,Option D,Correct Answer
19,2024 NFL Season Awards,Who was the host of the 2025 NFL Honors ceremony?,Snoop Dogg,Ice-T,LL Cool J,Common,Snoop Dogg
20,2024 NFL Season Awards,Lamar Jackson has won the MVP award how many times?,3,2,4,1,3
21,Saquon Barkley Records,How many rushing yards did Saquon Barkley have in Week 12 against the Los Angeles Rams?,255,205,245,225,255
22,Saquon Barkley Records,Which Eagles player's single-season rushing record did Saquon Barkley break?,LeSean McCoy,Brian Westbrook,Duce Staley,Wilbert Montgomery,LeSean McCoy
23,Saquon Barkley Records,In what year did LeSean McCoy set the previous Eagles rushing record?,2013,2012,2014,2011,2013
24,Saquon Barkley Records,"How many yards were Saquon Barkley's 255 rushing yards in Week 12, the __-most in NFL history?",9th,8th,10th,7th,9th
25,Saquon Barkley Records,Against which team did Barkley rush for 205 yards in the 2024 divisional playoff game?,Los Angeles Rams,Green Bay Packers,Detroit Lions,San Francisco 49ers,Los Angeles Rams
26,Saquon Barkley Records,"In Week 13, against which team did Barkley break the Eagles single-season rushing record?",Baltimore Ravens,Pittsburgh Steelers,Dallas Cowboys,New York Giants,Baltimore Ravens
27,Saquon Barkley Records,How many total yards did Barkley have when he rushed for 255 yards against the Rams in Week 12?,302,280,310,295,302
28,Saquon Barkley Records,"In the Wild Card playoff game, how many rushing yards did Barkley have against the Packers?",119,125,110,135,119
29,Saquon Barkley Records,How many touchdowns did Barkley have in his debut Eagles game against the Packers?,3,2,4,1,3
30,Saquon Barkley Records,How many rushing yards did Barkley accumulate in his first Eagles game?,109,99,120,115,109
31,Quarterbacks 2024,How many passing yards did Lamar Jackson throw for in the 2024 season?,"4,172","4,000","4,200","3,950","4,172"
32,Quarterbacks 2024,How many rushing yards did Lamar Jackson have in the 2024 season?,915,850,900,950,915
33,Quarterbacks 2024,"Was Lamar Jackson the first QB to throw for 4,000+ yards and rush for 800+ yards?",Yes,No,He was tied with another QB,Not yet in 2024,Yes
34,Quarterbacks 2024,How many passing touchdowns did Jalen Hurts throw in the 2024 regular season?,18,20,16,22,18
35,Quarterbacks 2024,What was Jalen Hurts' passer rating in the 2024 season?,103.7,101.5,105.0,102.3,103.7
36,Quarterbacks 2024,How many interceptions did Jalen Hurts throw in the 2024 regular season?,5,7,6,8,5
37,Quarterbacks 2024,How many passing yards did Jalen Hurts have in Super Bowl LIX?,221,240,200,210,221
38,Quarterbacks 2024,How many rushing yards did Jalen Hurts have in Super Bowl LIX?,72,60,85,50,72
39,Quarterbacks 2024,How many games did Jalen Hurts play in the 2024 regular season?,15,16,14,17,15
40,Quarterbacks 2024,What was the completion percentage for Jalen Hurts in 2024?,68.7%,70.5%,66.2%,72.1%,68.7%
41,2024 NFL Draft,Which team selected Cam Ward with the 1st overall pick in the 2025 NFL Draft?,Tennessee Titans,Jacksonville Jaguars,Las Vegas Raiders,Cleveland Browns,Tennessee Titans
42,2024 NFL Draft,What college did Cam Ward attend?,Miami,Oklahoma,Texas,Florida State,Miami
43,2024 NFL Draft,Which team traded up to the 2nd pick to select Travis Hunter?,Jacksonville Jaguars,Cleveland Browns,Las Vegas Raiders,Arizona Cardinals,Jacksonville Jaguars
44,2024 NFL Draft,What position did Travis Hunter play?,Cornerback,Safety,Wide Receiver,Linebacker,Cornerback
45,2024 NFL Draft,Which college did Travis Hunter attend?,Colorado,Alabama,Georgia,LSU,Colorado
46,2024 NFL Draft,Who won the 2024 draft in the first round?,Chicago Bears,Los Angeles Rams,Dallas Cowboys,Kansas City Chiefs,Chicago Bears
47,2024 NFL Draft,How many QB's were selected in the first round of the 2024 draft?,5,4,6,3,5
48,2024 NFL Draft,Which QB was selected first overall in the 2024 draft by the Chicago Bears?,Caleb Williams,Jayden Daniels,Drake Maye,Michael Penix Jr.,Caleb Williams
49,2024 NFL Draft,Who was the Defensive Rookie of the Year?,Jared Verse,Quinyon Mitchell,Braden Fiske,Chop Robinson,Jared Verse
50,2024 NFL Draft,How many pressures did Jared Verse record in his rookie season?,77,70,85,65,77
52,2024 Regular Season,What was the Kansas City Chiefs' record in the 2024 regular season?,15-1,14-2,13-3,14-3,15-1
53,2024 Regular Season,Which team won the NFC North in 2024?,Minnesota Vikings,Detroit Lions,Chicago Bears,Green Bay Packers,Minnesota Vikings
54,2024 Regular Season,What was the Minnesota Vikings' record in 2024?,14-2,13-3,15-1,12-4,14-2
55,2024 Regular Season,Which team won the NFC East in 2024?,Philadelphia Eagles,Dallas Cowboys,Washington Commanders,New York Giants,Philadelphia Eagles
56,2024 Regular Season,What was the Philadelphia Eagles' record in the 2024 regular season?,13-3,14-2,12-4,11-5,13-3
57,2024 Regular Season,Which division had the most wins in 2024?,NFC North,AFC West,AFC North,NFC East,NFC North
58,2024 Regular Season,How many total wins did the NFC North have in 2024?,45,43,40,48,45
59,2024 Regular Season,Which team won the AFC South in 2024?,Houston Texans,Jacksonville Jaguars,Indianapolis Colts,Tennessee Titans,Houston Texans
60,2024 Regular Season,Which team won the NFC West in 2024?,Los Angeles Rams,San Francisco 49ers,Seattle Seahawks,Arizona Cardinals,Los Angeles Rams
61,Receiving Leaders 2024,How many receiving yards did Tyreek Hill have in 2024?,"1,799","1,650","1,900","1,750","1,799"
62,Receiving Leaders 2024,For which team did Tyreek Hill play in 2024?,Miami Dolphins,Kansas City Chiefs,Buffalo Bills,Los Angeles Chargers,Miami Dolphins
63,Receiving Leaders 2024,How many catches did Travis Kelce have in 2024?,97,85,105,110,97
64,Receiving Leaders 2024,How many receiving yards did Travis Kelce have in 2024?,823,900,950,750,823
65,Receiving Leaders 2024,What was CeeDee Lamb's receiving yardage in 2024?,"1,194","1,100","1,300","1,050","1,194"
66,Receiving Leaders 2024,How many receiving touchdowns did CeeDee Lamb have in 2024?,6,8,10,5,6
67,Receiving Leaders 2024,How many games did CeeDee Lamb play in 2024?,15,16,14,17,15
68,Receiving Leaders 2024,How many catches did Wan'Dale Robinson have in 2024?,93,85,105,110,93
69,Receiving Leaders 2024,How many receiving yards did Wan'Dale Robinson have in 2024?,699,650,750,800,699
70,Receiving Leaders 2024,What is CeeDee Lamb's current career receiving yardage through 2024?,"7,204","7,000","7,500","6,800","7,204"
71,Head Coaching Changes 2025,Who became the new head coach of the Dallas Cowboys in 2025?,Brian Schottenheimer,Pete Carroll,Aaron Glenn,Mike Vrabel,Brian Schottenheimer
72,Head Coaching Changes 2025,Who became the new head coach of the Las Vegas Raiders in 2025?,Pete Carroll,Brian Schottenheimer,Liam Coen,Aaron Glenn,Pete Carroll
73,Head Coaching Changes 2025,What is Pete Carroll's age?,73,71,75,69,73
74,Head Coaching Changes 2025,Who became the new head coach of the Jacksonville Jaguars in 2025?,Liam Coen,Aaron Glenn,Ben Johnson,Mike Vrabel,Liam Coen
75,Head Coaching Changes 2025,Who became the new head coach of the New York Jets in 2025?,Aaron Glenn,Ben Johnson,Mike Vrabel,Brian Schottenheimer,Aaron Glenn
76,Head Coaching Changes 2025,Who became the new head coach of the New England Patriots in 2025?,Mike Vrabel,Ben Johnson,Aaron Glenn,Liam Coen,Mike Vrabel
77,Head Coaching Changes 2025,Who became the new head coach of the Chicago Bears in 2025?,Ben Johnson,Mike Vrabel,Aaron Glenn,Liam Coen,Ben Johnson
78,Head Coaching Changes 2025,Who became the new head coach of the New Orleans Saints in 2025?,Kellen Moore,Brian Schottenheimer,Pete Carroll,Aaron Glenn,Kellen Moore
79,Head Coaching Changes 2025,When was Kellen Moore hired as Saints head coach?,"February 11, 2025","February 9, 2025","February 15, 2025","February 1, 2025","February 11, 2025"
80,Head Coaching Changes 2025,What was Kellen Moore's position before becoming Saints head coach?,Eagles offensive coordinator,49ers offensive coordinator,Chiefs offensive coordinator,Cowboys offensive coordinator,Eagles offensive coordinator
81,NFL Records & History,How many Super Bowls has Tom Brady won?,7,6,5,8,7
82,NFL Records & History,How many Super Bowls did Tom Brady appear in?,10,9,11,8,10
83,NFL Records & History,How many Super Bowl MVP awards does Tom Brady have?,5,4,6,3,5
84,NFL Records & History,What is the all-time career passing yards record holder?,Tom Brady,Peyton Manning,Brett Favre,Dan Marino,Tom Brady
85,NFL Records & History,How many career passing yards does Peyton Manning have (most for a Hall of Famer)?,"71,940","71,000","72,500","70,500","71,940"
86,NFL Records & History,How many career passing yards does Brett Favre have?,"71,838","71,000","72,000","70,500","71,838"
87,NFL Records & History,Who holds the all-time career rushing yards record?,Barry Sanders,Walter Payton,Emmitt Smith,Jim Brown,Barry Sanders
88,NFL Records & History,How many career rushing yards does Barry Sanders have?,"15,269","16,726","14,580","15,000","15,269"
89,NFL Records & History,Who holds the single-season rushing yards record?,Eric Dickerson,Barry Sanders,Terrell Davis,Saquon Barkley,Eric Dickerson
90,NFL Records & History,How many rushing yards did Eric Dickerson have in his record season?,"2,105","2,000","2,150","1,950","2,105"
91,Sack Records,Who holds the all-time career sacks record?,Bruce Smith,Reggie White,Kevin Greene,Michael Strahan,Bruce Smith
92,Sack Records,How many career sacks does Bruce Smith have?,200,198,160,141.5,200
93,Sack Records,How many career sacks does Reggie White have?,198,200,160,150.5,198
94,Sack Records,Who holds the single-season sacks record?,Michael Strahan,T.J. Watt,Jared Allen,Mark Gastineau,Michael Strahan
95,Sack Records,How many sacks did Michael Strahan record in his record season?,22.5,22,21,23,22.5
96,Sack Records,In what year did Michael Strahan set the single-season sacks record?,2001,2003,2000,2002,2001
97,Sack Records,What team was Michael Strahan playing for when he set the sacks record?,New York Giants,Washington Commanders,Philadelphia Eagles,Dallas Cowboys,New York Giants
98,Sack Records,Who also holds the single-season sacks record with 22.5 sacks?,T.J. Watt,Jared Allen,Mark Gastineau,Chris Doleman,T.J. Watt
99,Sack Records,In what year did T.J. Watt tie the single-season sacks record?,2021,2020,2022,2019,2021
100,Sack Records,How many career sacks does Michael Strahan have?,141.5,150.5,160,159.5,141.5
101,Super Bowl Winners,Which team has won the most Super Bowls?,New England Patriots,Pittsburgh Steelers,Dallas Cowboys,San Francisco 49ers,New England Patriots
102,Super Bowl Winners,How many Super Bowls have the New England Patriots won?,6,5,7,4,6
103,Super Bowl Winners,How many Super Bowls have the Pittsburgh Steelers won?,6,5,7,4,6
104,Super Bowl Winners,How many Super Bowls have the Kansas City Chiefs won?,4,3,2,5,4
105,Super Bowl Winners,How many Super Bowls have the Philadelphia Eagles won?,2,1,3,0,2
106,Super Bowl Winners,How many Super Bowls have the Dallas Cowboys won?,5,4,6,3,5
107,Super Bowl Winners,How many Super Bowls have the San Francisco 49ers won?,5,4,6,3,5
108,Super Bowl Winners,How many Super Bowls have the Green Bay Packers won?,4,3,2,5,4
109,Super Bowl Winners,Which team won the most Super Bowls in the 1970s?,Pittsburgh Steelers,Dallas Cowboys,Miami Dolphins,Oakland Raiders,Pittsburgh Steelers
110,Super Bowl Winners,Which team won the most Super Bowls in the 1980s?,San Francisco 49ers,Dallas Cowboys,Washington Commanders,Miami Dolphins,San Francisco 49ers
111,Hall of Fame Quarterbacks,How many Hall of Fame quarterbacks are there?,26+,20,15,30,26+
112,Hall of Fame Quarterbacks,Who holds the most NFL MVP awards?,Peyton Manning,Tom Brady,Aaron Rodgers,Joe Montana,Peyton Manning
113,Hall of Fame Quarterbacks,How many MVP awards does Peyton Manning have?,5,4,6,3,5
114,Hall of Fame Quarterbacks,How many MVP awards does Aaron Rodgers have?,4,3,5,2,4
115,Hall of Fame Quarterbacks,How many MVP awards does Tom Brady have?,3,2,4,5,3
116,Hall of Fame Quarterbacks,Which QB was inducted into the Hall of Fame in 2016?,Brett Favre,Dan Marino,John Elway,Joe Montana,Brett Favre
117,Hall of Fame Quarterbacks,Which QB was inducted into the Hall of Fame in 2005?,Dan Marino,John Elway,Joe Montana,Steve Young,Dan Marino
118,Hall of Fame Quarterbacks,How many career passing yards did Joe Montana have?,"40,551","45,000","38,000","42,000","40,551"
119,Hall of Fame Quarterbacks,How many career passing yards did John Elway have?,"51,475","50,000","52,000","49,000","51,475"
120,Hall of Fame Quarterbacks,How many career passing yards did Dan Marino have?,"61,361","60,000","62,000","59,000","61,361"
121,2024 Season Leaders,Who led the NFL in passing yards in 2024?,Josh Allen,Lamar Jackson,Patrick Mahomes,Jalen Hurts,Josh Allen
122,2024 Season Leaders,Who led the NFL in passing touchdowns in 2024?,Patrick Mahomes,Josh Allen,Lamar Jackson,Jalen Hurts,Patrick Mahomes
123,2024 Season Leaders,Who led the NFL in rushing yards in 2024?,Saquon Barkley,Derrick Henry,Josh Jacobs,Jonathan Taylor,Saquon Barkley
124,2024 Season Leaders,Who led the NFL in receiving yards in 2024?,Tyreek Hill,Travis Kelce,CeeDee Lamb,A.J. Brown,Tyreek Hill
125,2024 Season Leaders,Who led the NFL in receptions in 2024?,Travis Kelce,Brock Bowers,Tyreek Hill,DeVonta Smith,Brock Bowers
126,2024 Season Leaders,How many receptions did Brock Bowers have in 2024 as a rookie?,112,110,115,105,112
127,2024 Season Leaders,Did Brock Bowers set an NFL rookie record for receptions?,Yes,No,Tied,Almost,Yes
128,2024 Season Leaders,How many rushing touchdowns did Saquon Barkley have in 2024?,13,11,15,10,13
129,2024 Season Leaders,What was Travis Kelce's receiving touchdowns in 2024?,9,8,10,7,9
130,2024 Season Leaders,How many receiving touchdowns did Tyreek Hill have in 2024?,13,11,15,10,13
131,Defensive Players 2024,How many interceptions did Patrick Surtain II have in 2024?,4,3,5,6,4
132,Defensive Players 2024,How many passes defended did Patrick Surtain II have in 2024?,11,10,12,9,11
133,Defensive Players 2024,How many sacks did Trey Hendrickson have in 2024?,17.5,16,18.5,15,17.5
134,Defensive Players 2024,How many sacks did Myles Garrett have in 2024?,14,13,15,12,14
135,Defensive Players 2024,How many sacks did T.J. Watt have in 2024?,11.5,10,12.5,9,11.5
136,Defensive Players 2024,Which defensive lineman led the 2024 NFL in sacks?,Trey Hendrickson,Myles Garrett,T.J. Watt,Aaron Donald,Trey Hendrickson
137,Defensive Players 2024,How many tackles did Roquan Smith have in 2024?,132,125,140,120,132
138,Defensive Players 2024,Did Jared Verse finish in the top 5 for defensive rookie of the year voting?,Yes,No,He won it,Close,Yes
139,Defensive Players 2024,How many pressures did Jared Verse record in 2024?,77,70,85,65,77
140,Defensive Players 2024,What position does Jared Verse play?,Edge Rusher,Linebacker,Safety,Cornerback,Edge Rusher
141,Recent Trades & Signings,Which team did Saquon Barkley sign with before the 2024 season?,Philadelphia Eagles,New York Giants,Pittsburgh Steelers,Dallas Cowboys,Philadelphia Eagles
142,Recent Trades & Signings,How many years was Saquon Barkley's contract with the Eagles?,3,4,2,5,3
143,Recent Trades & Signings,Who won the NFL Honors as Coach of the Year in 2025?,Kevin O'Connell,Jonathan Gannon,Jim Harbaugh,Dan Campbell,Kevin O'Connell
144,Recent Trades & Signings,What team does Kevin O'Connell coach?,Minnesota Vikings,Detroit Lions,Philadelphia Eagles,New York Giants,Minnesota Vikings
145,Recent Trades & Signings,Who did the Buffalo Bills sign to strengthen their cornerback position in 2025?,Nate Hobbs,D.J. Reed,Adoree' Jackson,Donte Jackson,Nate Hobbs
146,Recent Trades & Signings,How many years was Nate Hobbs' Green Bay Packers contract?,4,3,2,5,4
147,Recent Trades & Signings,What was the value of Nate Hobbs' contract with the Packers?,$48 million,$45 million,$50 million,$42 million,$48 million
148,Recent Trades & Signings,Who signed with the Kansas City Chiefs as a free agent in 2025?,Hollywood Brown,JuJu Smith-Schuster,Kareem Hunt,Charles Omenihu,Hollywood Brown
149,Recent Trades & Signings,How many years was Hollywood Brown's contract with the Chiefs?,1,2,3,4,1
150,Recent Trades & Signings,What was the value of Hollywood Brown's contract with the Chiefs?,$11 million,$10 million,$12 million,$9 million,$11 million
151,Team Records & Standings,How many teams won 10 or more games in 2024?,14,13,15,12,14
152,Team Records & Standings,What is the minimum wins for playoff qualification in 2024?,10,9,11,8,10
154,Team Records & Standings,What was the Cincinnati Bengals' record in 2024?,6-8,8-8,7-9,5-11,8-8
156,Team Records & Standings,What was the Chicago Bears' record in 2024?,5-12,4-13,6-11,3-14,5-12
157,Team Records & Standings,How many teams made the 2024 NFL playoffs?,14,12,16,18,14
158,Team Records & Standings,Which conference had one more playoff team in 2024?,NFC,AFC,Equal,Neither,NFC
159,Team Records & Standings,Did all playoff teams in 2024 win at least 10 games?,Yes,No,Some,One didn't,Yes
160,Team Records & Standings,When was the last time all playoff teams won at least 10 games before 2024?,2012,2010,2014,2008,2012
161,Playoff Matchups & Results,Which team earned the #1 seed in the AFC?,Kansas City Chiefs,Buffalo Bills,Baltimore Ravens,Pittsburgh Steelers,Kansas City Chiefs
162,Playoff Matchups & Results,Which team earned the #1 seed in the NFC?,Detroit Lions,Philadelphia Eagles,Minnesota Vikings,Los Angeles Rams,Detroit Lions
163,Playoff Matchups & Results,What was the Detroit Lions' record in 2024?,14-2,13-3,15-1,12-4,14-2
164,Playoff Matchups & Results,Which team earned the #2 seed in the AFC?,Buffalo Bills,Baltimore Ravens,Pittsburgh Steelers,Houston Texans,Buffalo Bills
165,Playoff Matchups & Results,Which team earned the #2 seed in the NFC?,Philadelphia Eagles,Detroit Lions,Minnesota Vikings,Los Angeles Rams,Philadelphia Eagles
166,Playoff Matchups & Results,Who did the Kansas City Chiefs face in the AFC Divisional round?,Houston Texans,Baltimore Ravens,Buffalo Bills,Pittsburgh Steelers,Houston Texans
167,Playoff Matchups & Results,What was the score of the Chiefs vs. Texans divisional playoff game?,"Chiefs 23, Texans 14","Chiefs 20, Texans 17","Chiefs 25, Texans 15","Chiefs 19, Texans 12","Chiefs 23, Texans 14"
168,Playoff Matchups & Results,Who did the Buffalo Bills beat in the AFC Divisional round?,Baltimore Ravens,Pittsburgh Steelers,Houston Texans,Denver Broncos,Baltimore Ravens
169,Playoff Matchups & Results,What was the score of the Bills vs. Ravens divisional playoff game?,"Bills 27, Ravens 25","Bills 25, Ravens 22","Bills 28, Ravens 26","Bills 24, Ravens 23","Bills 27, Ravens 25"
170,Playoff Matchups & Results,Who did the Philadelphia Eagles face in the NFC Wild Card round?,Green Bay Packers,Detroit Lions,San Francisco 49ers,Los Angeles Rams,Green Bay Packers
171,Rookie Standouts 2024,What college did Jayden Daniels attend?,LSU,Ohio State,Alabama,Georgia,LSU
172,Rookie Standouts 2024,How many rushing yards did Jayden Daniels have in his rookie season?,915,800,"1,000",750,915
173,Rookie Standouts 2024,What was Jayden Daniels' completion rate in 2024?,79.1%,77.5%,81.0%,75.2%,79.1%
174,Rookie Standouts 2024,Which college did Brock Bowers attend?,Nevada,Oregon,Colorado,Utah,Nevada
175,Rookie Standouts 2024,How many all-time rookie receptions did Brock Bowers set?,112,115,110,120,112
176,Rookie Standouts 2024,How many receiving yards did Brock Bowers have in 2024?,"1,194","1,100","1,300","1,050","1,194"
177,Rookie Standouts 2024,How many receiving touchdowns did Brock Bowers have in 2024?,8,10,6,12,8
178,Rookie Standouts 2024,What college did Jared Verse attend?,Penn State,Alabama,Georgia,LSU,Penn State
179,Rookie Standouts 2024,How many pressures did Jared Verse have in the second half of 2024?,48,40,55,45,48
180,Rookie Standouts 2024,How old was Jared Verse when he turned 22 during the 2024 season?,Recently turned,Already 22,Will turn 22,About to turn,Recently turned
181,Team Achievements 2024,How many consecutive wins did the Philadelphia Eagles have?,8,7,9,6,8
182,Team Achievements 2024,Against which team did the Eagles get their 8th consecutive win?,Baltimore Ravens,Pittsburgh Steelers,Washington Commanders,Dallas Cowboys,Baltimore Ravens
183,Team Achievements 2024,Did the Los Angeles Rams and Chargers both qualify for the 2024 playoffs?,Yes,No,One did,Barely,Yes
184,Team Achievements 2024,When was the last time the Rams and Chargers both made the playoffs?,2018,2016,2020,2022,2018
185,Team Achievements 2024,Did the Detroit Lions make the playoffs in 2024?,Yes,No,Wild card,As 4 seed,Yes
186,Team Achievements 2024,Did the Detroit Lions win their first playoff game since 1991?,Yes,No,In 2023,Close but no,Yes
187,Team Achievements 2024,Did the #7 seed Packers beat the #2 seed Cowboys in the 2023 playoffs?,Yes,No,Lost in other round,In Super Bowl,Yes
188,Team Achievements 2024,Was this the first time a #7 seed won a playoff game since 2020?,Yes,No,No seeds then,2020 was first,Yes
189,Team Achievements 2024,How many consecutive Super Bowl appearances did the Kansas City Chiefs make?,3,2,4,1,3
190,Team Achievements 2024,In which year did the NFL expand the playoff format to 14 teams?,2020,2021,2019,2022,2020
191,Historical Comparisons,How many total passes did Tom Brady throw in his career?,"13,089","12,000","14,000","11,500","13,089"
192,Historical Comparisons,How many playoff games did Tom Brady win?,35,30,40,32,35
193,Historical Comparisons,How many Super Bowl touchdowns did Tom Brady throw?,21,20,23,19,21
194,Historical Comparisons,How many Super Bowl interceptions did Tom Brady throw?,6,5,7,4,6
195,Historical Comparisons,How many Super Bowl touchdown passes does Patrick Mahomes have?,10,9,11,8,10
196,Historical Comparisons,How many Super Bowl interceptions does Patrick Mahomes have?,7,6,8,5,7
197,Historical Comparisons,How many Super Bowl appearances does Patrick Mahomes have?,5,4,6,3,5
198,Historical Comparisons,Is Patrick Mahomes currently active in the NFL?,Yes,No,Recently retired,Considering,Yes
199,Historical Comparisons,Did Mahomes lose Super Bowl LIX?,Yes,No,Won,Didn't play,Yes
200,Historical Comparisons,What was Mahomes' Super Bowl LIX passer rating in the first half?,33 passing yards,Low score,Mixed performance,Struggled,33 passing yards
201,Team Histories,How many Super Bowls have the Denver Broncos won?,3,2,4,1,3
202,Team Histories,How many Super Bowls have the Miami Dolphins won?,2,1,3,0,2
203,Team Histories,How many Super Bowls have the Baltimore Ravens won?,2,1,3,0,2
204,Team Histories,How many Super Bowls have the Indianapolis Colts won?,2,1,3,0,2
205,Team Histories,How many Super Bowls have the New York Giants won?,4,3,5,2,4
206,Team Histories,How many Super Bowls have the Oakland/Las Vegas Raiders won?,3,2,4,1,3
207,Team Histories,How many Super Bowls have the Washington Commanders won?,3,2,4,1,3
208,Team Histories,How many Super Bowls have the New York Jets won?,1,2,0,3,1
209,Team Histories,How many Super Bowls have the Chicago Bears won?,1,2,0,3,1
210,Team Histories,How many Super Bowls have the Seattle Seahawks won?,1,2,0,3,1
211,Quarterbacks Head to Head,How many career playoff wins does Patrick Mahomes have?,26,25,27,24,26
212,Quarterbacks Head to Head,How many career playoff games has Josh Allen played?,25+,20,30,15,25+
213,Quarterbacks Head to Head,How many times have Josh Allen and Patrick Mahomes met in the playoffs?,3,2,4,1,3
214,Quarterbacks Head to Head,Who has won more playoff games against the other: Allen or Mahomes?,Mahomes,Allen,Tied,Recently flipped,Mahomes
215,Quarterbacks Head to Head,How many passing yards did Josh Allen have in the 2024 regular season?,"3,731","3,500","3,900","3,600","3,731"
216,Quarterbacks Head to Head,How many rushing yards did Josh Allen have in 2024?,531,500,600,450,531
217,Quarterbacks Head to Head,How many passing touchdowns did Josh Allen have in 2024?,28,25,30,22,28
219,Quarterbacks Head to Head,How many playoff games has Lamar Jackson played?,16+,15,20,10,16+
220,Quarterbacks Head to Head,How many interceptions did Josh Allen throw in 2024?,6,5,7,8,6
221,Recent Player Transactions,Did Davante Adams get traded in 2024?,Yes,No,Pending,Rumored,Yes
222,Recent Player Transactions,Which team did Davante Adams play for before the trade?,Las Vegas Raiders,Kansas City Chiefs,Dallas Cowboys,New York Jets,Las Vegas Raiders
223,Recent Player Transactions,Did Davante Adams sign with the Jets or Chiefs?,Jets,Chiefs,Packers,Raiders stayed,Jets
224,Recent Player Transactions,Did the Eagles acquire any cornerbacks in the 2024 draft?,Yes,No,Two,Traded for,Yes
225,Recent Player Transactions,Did Xavier Worthy perform well in his rookie season with the Chiefs?,Yes,No,Decent,Struggled,Yes
226,Recent Player Transactions,How many receiving touchdowns did Xavier Worthy have in 2024?,6,5,7,4,6
227,Recent Player Transactions,Did Braden Fiske have a strong rookie season in 2024?,Yes,No,Decent,Struggled,Yes
228,Recent Player Transactions,How many defensive tackles have played in the 2024 draft class?,Multiple,Few,One,Several,Multiple
229,Recent Player Transactions,Did any cornerbacks from the Eagles 2024 draft class perform well?,Yes,No,One did,Too early,Yes
230,Recent Player Transactions,What college did Quinyon Mitchell attend?,Toledo,Ohio,Buffalo,Army,Toledo
231,Season Performance Metrics,How many total passing yards did Patrick Mahomes have in 2024?,"4,694","4,500","4,800","4,600","4,694"
232,Season Performance Metrics,How many passing touchdowns did Patrick Mahomes have in 2024?,27,25,30,28,27
233,Season Performance Metrics,How many interceptions did Patrick Mahomes throw in 2024?,8,7,9,6,8
234,Season Performance Metrics,What was Patrick Mahomes' passer rating in 2024?,102.5,100.0,105.0,99.5,102.5
235,Season Performance Metrics,How many rushing touchdowns did Saquon Barkley have in 2024?,13,11,15,10,13
236,Season Performance Metrics,How many total touchdowns did Saquon Barkley have in 2024?,13,14,15,12,13
