source,reason,ID,Category,Question,Option A,Option B,Option C,Option D,Correct Answer
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,279,Player Contracts & Deals,Did Mekhi Becton sign with any AFC team in 2025?,Yes,No,Jets,Free,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,281,Notable Performances,Did Derrick Henry have a good first season with his new team?,Yes,No,Average,Injured,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,282,Notable Performances,Did Marvin Harrison Jr. have a strong rookie season?,Yes,No,Decent,Injured,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,285,Notable Performances,Did Brian Thomas Jr. have a strong rookie season?,Yes,No,Decent,Injured,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,289,Notable Performances,Was Shedeur Sanders drafted in the first round in 2025?,No,Yes,Pending,Undrafted,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,290,Notable Performances,Did the 49ers have any rookie WR perform well in 2024?,Yes,No,Injured,Average,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,293,Coaching Performance,Did Sean Payton coach the Eagles in 2024?,No,Yes,Retired,Interim,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,295,Coaching Performance,Did the Lions have a new head coach in 2024?,No,Yes,Interim,Recently,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,297,Coaching Performance,Did Dan Campbell take a new job in 2025?,No,Yes,Interim,Recently,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,298,Coaching Performance,Did the Ravens have issues with playoff success in 2024?,Yes,No,Mixed,New coach,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,301,Offensive Weapons,Does Josh Allen have adequate receiving weapons?,Yes,No,Some,Getting better,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,304,Offensive Weapons,Did the Bills have good offensive coaching in 2024?,Yes,No,Average,Poor,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,305,Offensive Weapons,Does Patrick Mahomes have great receiving weapons?,Yes,No,Some,Lost some,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,307,Offensive Weapons,Does Lamar Jackson have great receiving options?,Yes,No,Some,Limited,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,309,Offensive Weapons,Does Jalen Hurts have elite receiving weapons?,Yes,No,Some,Recently added,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,313,Defensive Excellence,Did the Eagles defense blitz in Super Bowl LIX?,No,Yes,Limited,Few times,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,315,Defensive Excellence,Did the Eagles force turnovers in Super Bowl LIX?,Yes,No,One,None,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,320,Defensive Excellence,Did the Eagles' secondary perform well in 2024?,Yes,No,Average,Mixed,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,321,Individual Records & Milestones,Did Saquon Barkley break any team records in 2024?,Yes,No,Multiple,Franchise,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,322,Individual Records & Milestones,Did Saquon Barkley come close to the NFL single-season rushing record?,Yes,No,100 yards away,Close,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,325,Individual Records & Milestones,Did Brock Bowers set the all-time rookie receptions record?,Yes,No,Tied,Almost,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,328,Individual Records & Milestones,Did Jayden Daniels have a historic rookie season?,Yes,No,Good,Average,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,330,Individual Records & Milestones,Is Jayden Daniels a future Hall of Famer?,Possible,No,Too early,Likely,Possible
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,331,Fan Favorites & Highlights,Did Cooper DeJean have a memorable moment in Super Bowl LIX?,Yes,No,Fumble recovery,Sack,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,333,Fan Favorites & Highlights,Was it Cooper DeJean's 22nd birthday?,Yes,No,21st,23rd,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,335,Fan Favorites & Highlights,Did DeVonta Smith score in Super Bowl LIX?,Yes,No,Multiple,One,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,338,Fan Favorites & Highlights,Did DeVonta Smith have a good 2024 season?,Yes,No,Average,Injured,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,339,Fan Favorites & Highlights,Did A.J. Brown have a great 2024 season?,Yes,No,Average,Injured,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,340,Fan Favorites & Highlights,Did the Eagles have a dominant passing game in 2024?,Yes,No,Average,Mixed,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,351,2025 Offseason Moves,Did the Eagles hire a new head coach in 2025?,No,Yes,Promoted interim,From outside,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,352,2025 Offseason Moves,Did the Chiefs make major roster changes in 2025?,No,Yes,Some,Minor,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,353,2025 Offseason Moves,Did the Bills make significant trades in 2025?,No,Yes,Some,Pending,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,354,2025 Offseason Moves,Did the Ravens make significant roster changes?,Yes,No,Some,Pending,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,355,2025 Offseason Moves,Did the Lions make any significant acquisitions?,No,Yes,Some,Pending,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,356,2025 Offseason Moves,Did the Vikings make any significant roster moves?,No,Yes,Some,Pending,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,357,2025 Offseason Moves,Did the Chargers hire Jim Harbaugh in 2024?,Yes,No,2023,Pending,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,375,Conference Standings,Did any division have all teams above .500?,No,Yes,Some,One,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,377,Conference Standings,Did the AFC South have a weak 2024 season?,Yes,No,Average,Mixed,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,379,Conference Standings,Did the NFC South have any dominant teams?,No,Yes,One,Emerging,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,381,Special Teams & Other Stats,Did Saquon Barkley set the combined regular season + postseason rushing record?,Close,Yes,No,Almost,Close
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,385,Special Teams & Other Stats,Did the Eagles rest starters in their final regular season game?,Yes,No,Some,Partial,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,387,Special Teams & Other Stats,Did Eric Dickerson break his record recently?,No,Yes,1984,Still stands,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,393,Trivia & Fun Facts,Did Joe Namath and Joe Montana both win Super Bowls?,Yes,No,One did,Different eras,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,395,Trivia & Fun Facts,Did Jalen Hurts become only the 3rd starting QB to win both a championship and Super Bowl?,Yes,No,Almost,2nd,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,397,Trivia & Fun Facts,Did Jalen Hurts play in college?,Yes,No,Briefly,High school only,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,399,Trivia & Fun Facts,Did Jalen Hurts win a national championship in college?,No,Yes,Made final four,Close,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,403,Notable Draft Picks,Did Caleb Williams win the Heisman Trophy?,Yes,No,Multiple times,Finalist,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,406,Notable Draft Picks,Did Drake Maye attend UNC?,Yes,No,Harvard,Yale,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,407,Notable Draft Picks,Was Drake Maye a successful Patriots draft pick?,Developing,No,Yes,Too early,Developing
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,409,Notable Draft Picks,Did Michael Penix Jr. sign with the Falcons?,Yes,Cardinals,Colts,Jaguars,Colts
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,416,Statistical Leaders Continued,Did any defensive back win MVP in recent years?,No,Yes,Not since 1980s,Pending,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,417,Statistical Leaders Continued,Did any linebacker win MVP in recent years?,No,Yes,Not since 2000s,Pending,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,421,Playoff Seeding Analysis,Did the #1 seed in the AFC have an easy path to the Super Bowl?,No,Yes,Average,Moderate,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,422,Playoff Seeding Analysis,Did the #1 seed in the NFC make it to the Super Bowl?,No,Yes,Lost earlier,Barely,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,424,Playoff Seeding Analysis,Was the Lions' loss a major upset?,No,Yes,Unexpected,Surprising,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,425,Playoff Seeding Analysis,Did the Chiefs make the Super Bowl as the #1 seed?,Yes,No,From wild card,From 3 seed,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,426,Playoff Seeding Analysis,Did the Eagles make the Super Bowl as the #2 seed?,Yes,No,From wild card,From 5 seed,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,427,Playoff Seeding Analysis,Has a #2 seed ever made the Super Bowl?,Yes,No,Rarely,Once,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,428,Playoff Seeding Analysis,Did the Bills have a favorable playoff path?,No,Yes,Average,Tough,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,431,Injury & Health Updates,Were there any major injuries during Super Bowl LIX?,No,Yes,Minor,Some,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,432,Injury & Health Updates,Did Patrick Mahomes have any injuries in 2024?,Yes,No,Minor,Recovery,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,433,Injury & Health Updates,Did Josh Allen have any injuries in 2024?,No,Yes,Minor,Shoulder,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,434,Injury & Health Updates,Did Lamar Jackson have any injuries in 2024?,No,Yes,Minor,Knee,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,435,Injury & Health Updates,Did Jalen Hurts have any injuries in 2024?,No,Yes,Minor,Shoulder,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,436,Injury & Health Updates,Did Saquon Barkley have any injuries in 2024?,No,Yes,Minor,Ankle,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,437,Injury & Health Updates,Did the Eagles have a healthy roster in 2024?,Yes,No,Mostly,Some issues,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,438,Injury & Health Updates,Did the Chiefs have health issues in 2024?,Yes,No,Minor,Some,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,439,Injury & Health Updates,Did the Lions have major injuries in 2024?,Yes,No,Some,Minor,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,441,Fan Voting & Selections,Did Josh Allen win the Pro Bowl vote in 2024?,Yes,No,Tied,Did not vote,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,442,Fan Voting & Selections,Did Patrick Mahomes make the Pro Bowl in 2024?,Yes,No,Alternate,Did not vote,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,443,Fan Voting & Selections,Did Lamar Jackson make the Pro Bowl in 2024?,Yes,No,Alternate,Did not vote,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,444,Fan Voting & Selections,Did Saquon Barkley make the Pro Bowl in 2024?,Yes,No,Alternate,Did not vote,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,445,Fan Voting & Selections,Did Travis Kelce make the Pro Bowl in 2024?,Yes,No,Alternate,Did not vote,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,446,Fan Voting & Selections,Did Tyreek Hill make the Pro Bowl in 2024?,Yes,No,Alternate,Did not vote,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,447,Fan Voting & Selections,Did CeeDee Lamb make the Pro Bowl in 2024?,Yes,No,Alternate,Did not vote,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,448,Fan Voting & Selections,Did Patrick Surtain II make the Pro Bowl in 2024?,Yes,No,Alternate,Did not vote,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,449,Fan Voting & Selections,Did Trey Hendrickson make the Pro Bowl in 2024?,Yes,No,Alternate,Did not vote,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,450,Fan Voting & Selections,Did the Eagles have multiple Pro Bowlers?,Yes,No,Some,Few,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,451,Franchise Records & Milestones,Did the Eagles win their second Super Bowl in franchise history?,Yes,No,First,Third,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,455,Franchise Records & Milestones,Did the Eagles make the Super Bowl in 2017?,Yes,No,Lost earlier,Alternate,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,460,Franchise Records & Milestones,Have the Eagles had success in recent years?,Yes,No,Mixed,Inconsistent,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,462,Competitive Balance,Did any division have two teams with 12+ wins?,Yes,No,One division,Multiple,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,463,Competitive Balance,Did any division have all playoff-quality teams?,No,Yes,One did,NFC North,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,464,Competitive Balance,Was 2024 a competitive NFL season?,Yes,No,Somewhat,Very much,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,465,Competitive Balance,Did the playoff bracket have major surprises?,No,Yes,Some,Few,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,466,Competitive Balance,Was the Super Bowl matchup expected?,Yes,No,Somewhat,Partially,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,467,Competitive Balance,Did any playoff team exceed expectations?,Yes,No,Few,One,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,468,Competitive Balance,Did any playoff team underperform?,Yes,No,Few,One,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,469,Competitive Balance,Was there competitive parity in 2024?,Yes,No,Some,Limited,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,474,Media & Broadcasting,Does ESPN have exclusive Monday Night Football?,Yes,No,Shares,Partial,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,476,Media & Broadcasting,Do streaming services carry NFL games?,Yes,No,Some,Limited,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,478,Media & Broadcasting,Did the 2024 NFL season have strong viewership?,Yes,No,Average,Declining,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,479,Media & Broadcasting,Are Super Bowls always the most-watched sporting event in the US?,Usually,No,Sometimes,Always,Usually
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,480,Media & Broadcasting,Will the Eagles-Chiefs Super Bowl have lasting impact?,Yes,No,Some,Minimal,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,481,Rule Changes & Officiating,Were there any major rule changes in 2024?,No,Yes,Some minor,Pending,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,483,Rule Changes & Officiating,Is pass interference still a reviewable call?,Limited,Yes,No,Rarely,Limited
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,484,Rule Changes & Officiating,Can defensive pass interference be challenged?,No,Yes,Limited,On offense,Limited
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,485,Rule Changes & Officiating,Are there kickoff rule changes?,Yes,No,Recently changed,Under review,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,489,Rule Changes & Officiating,Is the NFL considering playoff expansion?,No,Yes,Under review,Pending,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,491,Youth & Rookie Development,Did any 2024 rookie win major awards besides Daniels?,Yes,No,Verse did,Bowers near,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,494,Youth & Rookie Development,Did any 2024 QB recruit become an immediate starter?,Yes,No,Some,All,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,499,Youth & Rookie Development,Do rookies have more impact now than historically?,Yes,No,Same,Less,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,505,Super Bowl LIV 2020,Did the Chiefs overcome a deficit in Super Bowl LIV?,Yes,No,Led entire game,Never trailed,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,510,Super Bowl LIV 2020,Did Patrick Mahomes become the youngest to win both MVP and Super Bowl?,Yes,No,Tied record,Close,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,518,Super Bowl LV 2021,Did Tom Brady play for the Buccaneers in 2020?,Yes,No,Starting 2021,Mid-season,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,520,Super Bowl LV 2021,Was this the first time a team won at home?,No,Yes,Second time,Rare,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,525,Super Bowl LVI 2022,Did the Rams win at their home stadium?,Yes,No,Neutral site,In Cincinnati,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,529,Super Bowl LVI 2022,Did Matthew Stafford get his first Super Bowl win?,Yes,No,Second,Third,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,536,Super Bowl LVII 2023,Did the Chiefs win back-to-back Super Bowls?,Yes,No,2 straight wins,3 straight wins,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,542,Super Bowl LVIII 2024,Did Super Bowl LVIII go to overtime?,Yes,No,Double OT,Triple OT,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,546,Super Bowl LVIII 2024,Did this make the Chiefs the first back-to-back since 2004?,Yes,No,Third in a row,First ever,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,549,Super Bowl LVIII 2024,Did Christian McCaffrey score in Super Bowl LVIII?,Yes,No,Multiple,One TD,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,558,2020 NFL Season,Is 121.5 the second-highest passer rating in NFL history?,Yes,No,Tied,Not even top 5,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,560,2020 NFL Season,Did the Packers win the NFC North in 2020?,Yes,No,Wild card,Missed playoffs,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,561,2021 NFL Season,Did Tom Brady win the MVP in 2021?,No,Yes,Shared,Runner-up,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,564,2021 NFL Season,Did Tom Brady throw for 40+ touchdowns in 2021?,Yes,No,Exactly 40,39,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,567,2021 NFL Season,Did Tom Brady play in his first Super Bowl with Tampa Bay?,Yes,No,Not yet,Already won,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,568,2021 NFL Season,Did Tom Brady break any records in 2021?,Yes,No,Several,One or two,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,576,2022 NFL Season,Was 2022 Patrick Mahomes' second MVP?,Yes,No,Third,First,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,577,2022 NFL Season,Did Patrick Mahomes win a Super Bowl MVP in 2022?,Yes,No,Not yet,Later won,Yes
